"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_uri","duration_ms","time_signature","album_uri","track_number","track_name","album_name","album_img","album_release_date","album_release_year","artist_img"
"1",0.536,0.704,1,-7.674,1,0.301,0.334,NA,0.503,0.625,94.65,"2Qoui6iAiX1VVV21yWayBD",454280,4,"3kV0i1qqudjf0PGawJ4jck",1,"Push It Along","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5","1990",1990,"https://i.scdn.co/image/6f987ab74c72f0c50b19b05ea775bc4033c57706"
"2",0.888,0.574,9,-6.286,1,0.172,0.138,NA,0.211,0.678,104.716,"7EhEPcPa60LlvGuG9R1DOx",282520,4,"3kV0i1qqudjf0PGawJ4jck",2,"Luck of Lucien","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5","1990",1990,"https://i.scdn.co/image/6f987ab74c72f0c50b19b05ea775bc4033c57706"
"3",0.826,0.903,10,-5.449,0,0.262,0.44,0.000999,0.187,0.654,100.02,"5MNch1DaIp20fiHKmLHcp0",278853,4,"3kV0i1qqudjf0PGawJ4jck",3,"After Hours","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5","1990",1990,"https://i.scdn.co/image/6f987ab74c72f0c50b19b05ea775bc4033c57706"
"4",0.827,0.805,8,-5.009,0,0.257,0.0947,0,0.272,0.663,100.06,"3trSZ6JhgNpDhTfRvge4go",240640,4,"3kV0i1qqudjf0PGawJ4jck",4,"Footprints","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5","1990",1990,"https://i.scdn.co/image/6f987ab74c72f0c50b19b05ea775bc4033c57706"
"5",0.817,0.825,7,-6.481,1,0.238,0.383,0,0.0866,0.882,99.032,"15Xdlu0QaiEy3YFTf4xpUA",246827,4,"3kV0i1qqudjf0PGawJ4jck",5,"I Left My Wallet in El Segundo","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5","1990",1990,"https://i.scdn.co/image/6f987ab74c72f0c50b19b05ea775bc4033c57706"
"6",0.908,0.916,11,-4.254,1,0.216,0.0309,0.00204,0.1,0.785,109.047,"135R9H03UWsDIfZoKszfLi",225787,4,"3kV0i1qqudjf0PGawJ4jck",6,"Pubic Enemy","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5","1990",1990,"https://i.scdn.co/image/6f987ab74c72f0c50b19b05ea775bc4033c57706"
"7",0.845,0.701,8,-5.111,0,0.209,0.0859,0.00232,0.494,0.651,91.851,"7t83uuT0cZpQ7M6q9ymtv8",229840,4,"3kV0i1qqudjf0PGawJ4jck",7,"Bonita Applebum - includes 'Can I Kick It' Intro","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5","1990",1990,"https://i.scdn.co/image/6f987ab74c72f0c50b19b05ea775bc4033c57706"
"8",0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.729,96.662,"3Ti0GdlrotgwsAVBBugv0I",251573,4,"3kV0i1qqudjf0PGawJ4jck",8,"Can I Kick It?","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5","1990",1990,"https://i.scdn.co/image/6f987ab74c72f0c50b19b05ea775bc4033c57706"
"9",0.869,0.583,1,-7.112,1,0.215,0.0528,0.0934,0.258,0.478,108.716,"79iHdGrb91P9wAi5JNEObB",292627,4,"3kV0i1qqudjf0PGawJ4jck",9,"Youthful Expression","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5","1990",1990,"https://i.scdn.co/image/6f987ab74c72f0c50b19b05ea775bc4033c57706"
"10",0.89,0.686,1,-6.327,1,0.284,0.13,0.00262,0.342,0.606,104.004,"1DV0FlJoxpooAscaj2I6Uu",242053,4,"3kV0i1qqudjf0PGawJ4jck",10,"Rhythm (Devoted to the Art of Moving Butts)","Peoples Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","https://i.scdn.co/image/7b2767577b576a32854a7400161caf364d6a42c5","1990",1990,"https://i.scdn.co/image/6f987ab74c72f0c50b19b05ea775bc4033c57706"
