"","lyrics","track_name_join"
"1","[ intro:] you on point phife? once again tip you on point phife? once again tip you on point phife? once again tip word watch me bust they shit o k [ hook: tammy lucas] ohhhh, you did it to me once again my friend i swear you do it to me everytime cause you stay crazy on my mind yo you got it goin on (say word), on and on and on on and on and on [ verse : phife dawg] this is the year that i come in and just devastate my style is great ask your peoples can i dominate? my rhymes are harder than last night's erection don't play me close, i'll have this mic up in your mid-section my shit is lovely simply meaning that my joint is tight amping up the mic making sure production's tight sometimes i might catch a severe case of writer's block but by the end of the day you'll be on my jock my name's malik my hobby's putting m c's to the test and if you front i'll put my foot up in your freaking chest freestyle fanatic, and never will it ever stop you crew is loose, you might just want to call the cops [ q- tip] aye, yo i gotta put some action on paper make sure my verse jump up and spread out like the raper the only tip i got for a waiter is watch the doorknob hit me where the dirty dog shoulda' bit me that was my train of thought, but for so long i fought now i'm at a level supreme to the devil so turn up the bass and lay low on the treble we be the real m c's and you dead, bring a shovel revitalize, the vital tribe nigga, w h a t? the ladies sweat the style like the squirrel sweat the nuts you know a fellas good for the moola don't smoke no woolas, read the name call me slick tip the ruler [ hook: tammy lucas] ohhhh, you did it to me once again my friend i swear you do it to me everytime cause you stay crazy on my mind yo you got it goin on (say word), on and on and on on and on and on [ verse two: q- tip] yo i've been treading on this globe man for twenty-five joints sometimes shaitan got me by the pressure points but i can break a fella down like sex you eat wheat chex but still light in the ass and can't flex if one nigga front i'mma make more pay cause tonight, we gettin off like o. j and yo i got a dawg that bites, fuck the barking yo i got a crew with the beats and the smarts and [ phife] i fought my shit up on linden in the one-nine-two forever writing never biting ain't shit else to do hoping to battle, but most m c's ain't ready yet but if they utter one word then it's as good as set you have m c's dropping bombs that's incredible some of the brothers, their styles are just despicable as for me see i just do how i love to do try to deny me of my props then i'll be seeing you most of you suckers wanna be down for the tag along the freaking fame, someone tell em that this shit ain't games you gots to do this from your heart meaning your inner soul and if it's real only then will you be on a roll i try to stay on top my game there ain't no time to lose four albums deep as a quester but still we payin' dues so hear me out one time, you gots to be yourself cause if you ain't yourself you end up by your freaking self i'm coming rugged with the linden boule type of slang and yo, we'll see who can hang yo you on point tip? yo once again phife you on point tip? yo once again phife you on point tip? yo once again phife ayo that kid is niiiiiiiice [ hook: tammy lucas] ohhhh, you did it to me once again my friend i swear you do it to me everytime cause you stay crazy on my mind yo you got it goin on (say word), on and on and on on and on and on","1nce again"
"2","“ progressions can’t be made if we’re separate forever” – q- tip (x)","303503541"
"3","instrumental","4 moms"
"4","[ verse : phife dawg] went to carvel to get a milk shake this honey ripped me off for all my loot cakes the car oh yeah there's money in my jacket somebody broke into my ride and cold macked it yo tip i tell you man the devil's tryin it but i'm goin to stay strong cause i ain't buyin it tonight i'm taking sherry out, i don't have jack to wear you know i gots to look dipped in the fresh new gear cool i found something so i ironed it i then got caught up on the phone, oh shit, i'm frying it will someone tell me what did i do to deserve this? i think i'll, pull out my suit for sunday service my little brother wants barney, cool, i'm gettin it took him down to kay- bee, they ain't sellin it here we go with the crying, yo he's throwing fits my blood pressure's blowing up, i can't take the shit finally got what he wanted, now he's good to go again the ride was smashed, where's my radio? one time, the car was in the shop i had to borrow see... they had no mercy on the car, lyor will kill me where the hell can nicki be? i'm gonna smack her up i got the tickets for the knicks and she cold stood me up i need to hit a honey off, jarobi pass the phone pulled out my book of hoes, oh yo, sheila's home steady smiling like a mother yo i'm read' to bone went down on hon, she's in the red zone stressed out more than anyone could ever be forever tryin to clear the samples for my new l p everybody knows i go to georgia often got on the flight and i ended up in boston with all these trials and tribulations, yo, i've been affected and to top it off, starks got ejected [ hook: phife dawg] problems, problems, problems, woe is me i'm having problems, problems, problems.. [ verse : phife dawg] just last week my girl was stressin me now her best friend be undressing me well i was loving her by the moon ray now i'm tricking on her like kinte' (c'mon) bought a bag of izm from the smoke shop walking towards the car, here come the damn cops now i'm station bound for the thai sticks i bought it for my man, i don't believe this shit coach sat me down from the ball team cause i was breaking niggas on the inseams some niggas cross town was trying to stick me all i had was shorts, a dollar fifty picked up this girl in the hooptie just because i rhyme she tried to soup me pay for this, pay for that, loot for nails and hair who the hell you think i am, mr. belvedere? go and get a bloody job, then can we look cute even if you give me boots, you'll never see my loot she wasn't even all of that, just another hooker so i turned that ass away, quick like chuckii booker sometimes you got put the hoes in their friggin' place just move from in front me with your batty face! [ hook: phife dawg] problems, problems, problems, lord knows i'm havin problems, problems, problems, jesus christ i'm havin problems, problems, problems, pray for me i'm havin problems, problems, problems.. yeah yeah.. just lay down your burdens by the riverside hah, and you'll be alright, knowhat i'msayin? love and peace from phife for ', knahmsayin? tribe called quest, shaheed and tip this is how we flip my man muhammad in the house, huh [come on, come on] zulu nation in the house, huh [come on, come on] subroc is in the house, huh [come on, come on] my man skeff is in the house, huh [come on, come on] jarobi white is in the house, huh [come on, come on] bob power in the house, huh [come on, come on] my man eric in the house, huh [come on, come on] my man litro in the house, huh [come on, come on] [ hook: q- tip] help me out y'all, help me out now help me out y'all, help me out now help me out god, i really need ya help me out now, i really need ya help me out y'all, help me out now i'm having problems, help me out now really need ya, to help me out now help me out y'all, help me out now help me out y'all, help me out now help me out y'all, help me out now help me out god, i really need ya havin problems, help me out now..[ help me, help me, help me, help me, help me, help me help me, help me, help me, help me, help me, help me..... ..... m u h a m m a d!!]","8 million stories"
"5","after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool [ verse : q- tip] ten after one i think i'll hop the horse downtown of course just came from fishing couldn't get a catch downtown they'll probably have a batch a whiting sandwich and a guinness stout but with the beer though i had a bout so i exchanged it for some apple juice i had the blues but i shook them loose a jeep is blasting from the urban streets loops of funk over hardcore beats the moon dabbles in the morning sky as the minutes just creep on by i get a thought and hear comes my tribe ritual shakes and in good vibes like always the quest begins in the mist though but the rhythms moving we find a spot and we sit and chat speaking on the status quo of rap a derelict makes a real long speech we pay attention to the words he read when he was done we rattled on there was no rush because it wasn't dawn we pointed things out about this times the worlds famines and the crazy crimes inflation of the nation, it bothers me i better go gold, to pay the taxes gotta be swift 'n society the man whose made is the man who maxes the grounds for living are being discussed as we go it gets close to dusk gather thoughts and savor breath cause there's only a few hours left after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool [ verse : q- tip] me oh my, hey-hey, hey-hey the human hours are here to stay this is how it seems as phife's my witness bug out all night, ask phife, he's with this girls be screaming on this conversation i have my two cents for a revelation and my watch continuously tic-tocks shaheed will bring up the beats that rocks i hear the frogs and the smashing of bottles a car revs up and i hear it throttle it probably moves with the morning wind oh my god, here's phife again hear him talking about last nights game trying to remember someone's name so hear the frogs dancing in the streets once again ali will bring up the beat like this [ interlude] *sounds of frogs [ verse : q- tip] the beat is over and so is the night the sun is risen and the shine is bright we all say peace and go our separate ways youth is fading as we gain our days expedition for the song is simp' the hours creep, excuse me, i mean limp as we go you hear a gasp of laugh as we start up our rhythmic path like this after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool after hours it was cool, after hours it was cool","after hours"
"6","[ intro: phife and tip] back at you right back at you [ verse : tip + phife + both] drove around the block, drove a lot lookin' all around, don't see no cops whisper in your ears, a ghetto star sittin' on my lap inside of my car lookin' at my lips, take a taste taste yours too, rub your back run your fingers on the logo of my baseball hat moonlight dancin' inside of your eyes close your legs, i start to sigh now i reach down to unlace my nikes kick off your adidas 'cause that's what you like chris tucker joke passed inside of my head put the thought away, think of you instead hot outside, it's hot in here roll down the window, the breeze in your hair your earrings shake, you a baby doll you say you want me but did you want them all? make me feel special, i know that you can make me feel special like a prominent man prominent, dominant mc coy and i'm real another brother's fan? forget how you feel [ hook: tip and phife] me and you girl go against the world against the world? hell yeah the world me and you girl go against the world against the world? hell yeah the world me and you girl go against the world against the world? hell yeah the world me and you girl go against the world against the world? hell yeah the world yeah the world yeah the world yeah the world whole wide world yeah the world yeah the world yeah the world whole wide world yeah the world yeah the world [ verse : tip + phife + both] dame un beso, s'il vous plait or can you hold my hand, it's better that way if we was on video, i'd press rewind a nigga think about you all the time pigeon dropped a note, on top my head rn b, pop, girls thoroughbred run around the track, let me slow you dowwwwnnnnnn... pick you up raise your cup, let love erupt vol-ca-no, natural disast' fall in love with me? huh, well that's that ass wanna get you, inside my world process, straight, afro or curl stretch me out, phase me in forever you and me, let me see you grin he fucked you, i'mma tap his chin make me feel special, i know that you can make me feel special like a prominent man prominent, dominant, mc coy and i'm real another brother's fan? forget how you feel me and you girl go against the world against the world? hell yeah the world me and you girl go against the world against the world? hell yeah the world me and you honey go against the world against the world? hell yeah the world me and you girl go against the world against the world? hell yeah the world yeah the world yeah the world yeah the world whole wide world yeah the world yeah the world yeah the world whole wide world yeah the world yeah the world yeah the world whole wide world yeah the world yeah the world yeah the world whole wide world","against the world"
"7","","a great day in hiphop"
"8","[ produced by a tribe called quest][ hook: dove] we on award tour with muhammad my man going each and every place with the mic in their hand new york, n j, n c, v a we on award tour with muhammad my man going each and every place with the mic in their hand oaktown, l a, san fran, st. john [ verse : q- tip] people give your ears so i be sublime it's enjoyable to know you and your concubines niggas, take off your coats, ladies act like gems sit down, indian style, as we recite these hymns see, lyrically i'm mario andretti on the m o m o ludicrously speedy, or infectious with the slow-mo heard me in the eighties, j. b.'s on "" the promo"" in my never-ending quest to get the paper on the caper but now, let me take it to the queens side i'm taking it to brooklyn side all the residential questers who invade the air hold up a second son, cause we almost there you can be a black man and lose all your soul you can be white and groove but don't crap the roll see my shit is universal if you got knowledge of dolo or delf or self, see there's no one else who can drop it on the angle, acute at that so, do that, do that, do do that that that (come on) do that, do that, do do that that that ( o k) do that, do that, do do that that that i'm bugging out but let me get back cause i'm wetting niggas so run and tell the others cause we are the brothers i learned how to build mics in my workshop class so give me this award, and let's not make it the last[ hook: dove] we on award tour with muhammad my man going each and every place with the mic in their hand chinatown, spokane, london, tokyo we on award tour with muhammad my man going each and every place with the mic in their hand houston, delaware, d c, dallas [ verse : phife dawg] back in ' i simply slid in the place buddy, buddy, buddy all up in your face a lot of kids was busting rhymes but they had no taste some said quest was wack, but now is that the case? i have a quest to have a mic in my hand without that, it's like kryptonite and superman so shaheed come in with the sugar cuts phife dawg's my name, but on stage, call me dynomutt when was the last time you heard the phife sloppy lyrics anonymous, you'll never hear me copy top notch baby, never coming less sky's the limit, you gots to believe up in quest sit back, relax, get up out the path if not that, here's a dancefloor, come move that ass non-believers, you can check the stats i roll with shaheed and the brother abstract niggas know the time when quest is in the jam i never let a statue tell me how nice i am coming with more hits than the braves and the yankees living mad phat like an oversized mampi the wackest crews try to diss, it makes me laugh when my track record's longer than a d c- aircraft so, next time that you think you want somethin here make something def or take that garbage to st. elsewhere[ hook: dove] we on award tour with muhammad my man going each and every place with the mic in their hand s c, maryland, new orleans, motown we on award tour with muhammad my man going each and every place with the mic in their hand chinatown, spokane, london, tokyo we on award tour with muhammad my man going each and every place with the mic in their hand houston, delaware, d c, dallas we on award tour with muhammad my man going each and every place with the mic in their hand new york, n j, n c, v a seven times out of ten we listen to our music at night, thus spawned the title of this program the word maraud means to loot in this case, we maraud for ears","award tour"
"9","[ verse : phife dawg] the mad man malik makes m cs run for milk of magnesia maybe that'll ease ya master of this microphone mackin, master as in great i'll have your brain goin' in circles as my style tends to ovulate i'm makin' moves, never movies, that's why y'all m cs lose me retrace, won't, so you're stubborn like groupies kid, you know my flava, tear this whole jam apart fuck around and have your heart, like jordan had starks' while you playin' hokey pokey, there's no time to be dokey' cause i come out to play every night like charles oakley dissin' around with wack rhymin you lose your grip from chalk climbin let me take this time to say r. i. p. to phyllis hyman who never got the props that she damn well deserved but see me, you don't wanna see me, 'cause all m cs are gettin' served the nerve, for you to even step to the phifer i'll bumrush your set and crush your whole cypher reserve, a spot for me in hip hop's hall of fame ' cause rappin' ain't no game, big up your head and maintain yeah, queens forever in this piece crushin' any beef ain't nuthin' sweet, the bakery's across the fuckin' street phife dawg, swingin' it back and forth just like aaliyah makin' moves on your heart like that trick tamia no doubt about it, i love hip hop to death but yo tip, bring in the chorus 'cause i'm losin' my breath[ hook: consequence] ay yo, you know the deal when the diggy dawg is on the scene we got the fiend bumpin' straight from the borough queens you know the deal when the diggy dawg is on the scene we got the fiend bumpin' straight from the borough queens you know the deal when the diggy dawg is on the scene you know the deal, ha, you know the deal [ verse : phife dawg] big up pop duke, that's where i caught my athleticism my mama, no doubt, that's where i got my lyricism my nana, that's where i got my spiritualism as for tip and shah, they made me stop from smokin' izm now, when i'm with some cheese, i be lettin' off gism writin' rhymes since daddy kane and biz mark was on prism i got a brave heart like the one named shirley chisholm as for my late twin, boy, i wish i was with him got the lightro in the back talkin' bout (come on, get him) and when it comes to rhymes, no doubt, i flip em sucka m c in my path, hey main, i say we ship him money please, your rhymes are wack, say word, this geek is trippin' just because my name is phife, my man, i'm never slippin' i got the type of flave to have your ass straight bitchin' for those who act cute, see i got them on mute have you walkin' through your projects in your birthday suit ' cause your style is off loot, so i played him like a flute if you's a sucka m c, then it's you i rebuke my style is, everyday all day, similar to water crushin' m cs as if my name was sargent slaughter keep shit hotter...than a sauna or better yet, the hormones on your christian daughter hey, i tried to warn her my sounds the type to kill, like the grill on lauryn hill so all ya sucka m cs, y'all best go chill bout to go to union square so i can see my care bear singin' good stuff in my ear, runnin' fingers through my hair represent the zulu nation with illy rap creations just keep shit hotter than death row- bad boy confrontations chillin' with fudge love because he represents the haitians ya naw'mean word up i just wanna big up everybody for supportin' a tribe called quest through the years this be the fourth l p, you know what i'm sayin'? tip, shaheed and phife, beats, rhymes and life featuring my man, you know what i'm sayin', consequence is the area where we represent, for the ladies and gents, ha ha you know what i'm sayin'? big up shaheed muhammad, that's my man christine, you know what i'm sayin, word life (fading out) the abstract poetic, rockin' this track bouncin' it all over the place, in your face you know what i'm sayin'? my man lightro...","baby phifes return"
"10","[ intro: q- tip & ( q- tip & phife dawg)] yo, y'all ready? yo, phife, you ready? cons, you got that part, right? a'ight ( i dunno but it don’t matter who choose to set it off a t c q, no doubt my niggas is boss little half-ass rappers, y’all pissin’ me off time to dead ‘em all off, yo, no matter the cost) [ hook: consequence] ( black) they don’t make thugs of this caliber ( spasmodic) who kept up the buzz the whole calendar ( black) used to sell drugs out the challenger ( spasmodic) used to keep guns with the silencers ( black) they don’t make thugs of this caliber ( spasmodic) who kept up a buzz the whole calendar ( black) used to sell drugs out the challenger ( spasmodic) now look what he does to any challenger [ verse : phife dawg] now who want it with the trini gladiator? mid finger to you haters, you biters not innovators i take zero for granted, i honors my gift champion pen game, plus i’m freestyle equipped you clowns be bum sauce, speak my name, it’s curtains hamdulillah, my crew’s back to workin' trash rap the dead, pussy kill the chirping no more fuck boys, sit down, shit can only get worse and how do you touch mic with flows uncertain? speak game dry, boy, that flow ain’t workin' folks throwin' items, them vex and cursin' fuck made me wanna see these niggas in person? third song in, motherfuckers dispersin' only to realize donald juice in the buildin' big tune this for man, woman, and children back on my bullshit, busta bus' then we kill them [ hook: consequence] ( black) they don’t make thugs of this caliber ( spasmodic) who kept up the buzz the whole calendar ( black) used to sell drugs out the challenger ( spasmodic) used to keep guns with the silencers[ verse : q- tip] my nigga spirit be talkin' to me, let me explain not through evil mediums, tarot cards, and ouija games but through mixing chords and boards and even drum machines—he be saying:"" nigga fuck awards, keep reppin’ queens"" and don’t be taking slack from these non-rapping niggas, man that intellectual shit you spit, you better change your plan especially when you see 'em at the lobby of a label and they don’t seem able to outstretch they hands and admit they fans you better flame 'em in the j's that they standing in ostracize they memory for not remembering the articles reduce their body parts to particles and dust the dead sea with their cremated molecules i’m leaving, but nigga you still got the work to do i expect the best from you, i’m watching from my heaven view don’t disappoint me, make sure that they anoint me as the blue ribbon pedigree, the best of show, five-foot-three speak of the legacy for short people around the world napoleonic, bionic people who cause the world to twirl rip every stage with grace, look right dead in they face live the tribe principle of havin' impeccable taste enjoy that breath like that one was your last one left if you don’t believe me, tip, there’s truly life after death so refer to the biggie covers and shoutout my trini brothers and please check in on my mother... malik izaak, call me shorty"" [ hook: consequence] ( black) they don’t make thugs of this caliber ( spasmodic) who kept up the buzz the whole calendar ( black) used to sell drugs out the challenger ( spasmodic) used to keep guns with the silencers ( black) ( spasmodic)","black spasmodic"
